"Protein_ID","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Swiss.Prot_Hit","SP_E.value","Swiss.Prot_Description","Trembl_Hit","TB_E.value","Trembl_Description","NCBI_hit","nr_E.value","NCBI_Description","GO_Swiss.Prot","GO_Trembl"
"evm.TU.chromosome_11.744",42.7417551259279,-1.77332845104401,0.323169825134834,-5.48729588322219,4.08133191475416e-08,1.45829128800254e-05,"sp|Q7ZXY0|INO1A_XENLA",0,"Inositol-3-phosphate synthase 1-A OS=Xenopus laevis GN=isyna1-a PE=2 SV=1","tr|A0A2B4SQ58|A0A2B4SQ58_STYPI",0,"Inositol-3-phosphate synthase 1-A OS=Stylophora pistillata GN=isyna1-a PE=4 SV=1","ref|XP_020612435.1|",0,"inositol-3-phosphate synthase-like [Orbicella faveolata]","GO:0005737; GO:0004512; GO:0006021; GO:0008654","GO:0004512; GO:0006021; GO:0008654"
"evm.TU.chromosome_14.6642",49.5042774092818,1.63127709456368,0.298679005224203,5.46163963998462,4.71756952432691e-08,1.62319336596285e-05,"sp|Q9V4P1|ANLN_DROME",2.82e-66,"Anillin OS=Drosophila melanogaster GN=scra PE=1 SV=3","tr|A0A2B4SNR6|A0A2B4SNR6_STYPI",0,"Actin-binding protein anillin OS=Stylophora pistillata GN=anln PE=4 SV=1","ref|XP_020602886.1|",0,"anillin-like [Orbicella faveolata]","GO:0005826; GO:0032154; GO:0070938; GO:0005737; GO:0045172; GO:0035323; GO:0005634; GO:0003779; GO:0051015; GO:0008017; GO:0017022; GO:0000915; GO:0008356; GO:0007349; GO:0000910; GO:0043063; GO:0032189; GO:0030726; GO:0007112; GO:0000281; GO:0048477; GO:0007009; GO:0007279; GO:0008104; GO:0032465; GO:0007423; GO:0045035; GO:0031106",""
"evm.TU.chromosome_12.1356",17.2979641882501,-2.31045107204911,0.426949646399011,-5.41153059040094,6.24883167971163e-08,1.93505487681737e-05,"sp|P06683|CO9_MOUSE",4.67e-07,"Complement component C9 OS=Mus musculus GN=C9 PE=1 SV=2","tr|A0A2B4SJW2|A0A2B4SJW2_STYPI",0,"Neuronal pentraxin-2 OS=Stylophora pistillata GN=NPTX2 PE=4 SV=1","ref|XP_020623828.1|",0,"uncharacterized protein LOC110061329 [Orbicella faveolata]","GO:0005829; GO:0005615; GO:0005579; GO:0044218; GO:0005886; GO:0001906; GO:0006957; GO:0006958; GO:0019835; GO:0051260",""
"evm.TU.chromosome_7.2549",45.50219533545,1.37311711739754,0.255324651665787,5.37792613615279,7.5348714813066e-08,2.12118048670722e-05,"sp|Q8WVM7|STAG1_HUMAN",0,"Cohesin subunit SA-1 OS=Homo sapiens GN=STAG1 PE=1 SV=3","tr|A0A2B4RH27|A0A2B4RH27_STYPI",0,"Cohesin subunit SA-1 OS=Stylophora pistillata GN=STAG1 PE=4 SV=1","ref|XP_020632640.1|",0,"cohesin subunit SA-2-like [Orbicella faveolata]","GO:0000785; GO:0005694; GO:0000775; GO:0008278; GO:0005829; GO:0097431; GO:0016604; GO:0016363; GO:0005654; GO:0005634; GO:0003682; GO:0001228; GO:0051301; GO:1901673; GO:0007062",""
"evm.TU.chromosome_6.2892",59.9813798404099,0.979449126726778,0.182779223480915,5.35864584646868,8.38480343446215e-08,2.29102423253392e-05,"sp|Q8IYE0|CC146_HUMAN",0,"Coiled-coil domain-containing protein 146 OS=Homo sapiens GN=CCDC146 PE=1 SV=2","tr|A0A2B4SPG3|A0A2B4SPG3_STYPI",0,"Uncharacterized protein OS=Stylophora pistillata GN=AWC38_SpisGene3918 PE=4 SV=1","gb|PFX31256.1|",0,"coiled-coil domain-containing protein 146-like [Stylophora pistillata]","GO:0005814",""
"evm.TU.chromosome_1.1866",100.436031534479,1.28725117591043,0.240779448054834,5.34618376406144,8.98280106900014e-08,2.32639936561117e-05,"sp|Q9H2Y7|ZN106_HUMAN",4.1e-94,"Zinc finger protein 106 OS=Homo sapiens GN=ZNF106 PE=1 SV=1","tr|A0A2B4S965|A0A2B4S965_STYPI",0,"Zinc finger protein 106 OS=Stylophora pistillata GN=ZNF106 PE=4 SV=1","ref|XP_020632228.1|",0,"zinc finger protein 106-like [Orbicella faveolata]","GO:0005829; GO:0016020; GO:0005730; GO:0046872; GO:0003723; GO:0017124; GO:0008286","GO:0003676"
"evm.TU.chromosome_14.591",13.058999843899,3.73716506396283,0.699119188278049,5.34553353222585,9.01511056641571e-08,2.32639936561117e-05,"sp|Q99MW1|STK31_MOUSE",1.93e-45,"Serine/threonine-protein kinase 31 OS=Mus musculus GN=Stk31 PE=1 SV=2","tr|A0A2B4SBK2|A0A2B4SBK2_STYPI",0,"Serine/threonine-protein kinase 31 OS=Stylophora pistillata GN=STK31 PE=4 SV=1","gb|PFX26469.1|",0,"Serine/threonine-protein kinase 31 [Stylophora pistillata]","GO:0001669; GO:0005737; GO:0005634; GO:0005524; GO:0004518; GO:0004672; GO:0004674; GO:0006468; GO:0006401","GO:0016301"
"evm.TU.chromosome_5.454",120.791057545501,0.890583605385002,0.167865021572628,5.30535543999369,1.12453656743235e-07,2.82349857066124e-05,"sp|Q08BA6|ALKB5_DANRE",2.13e-112,"RNA demethylase ALKBH5 OS=Danio rerio GN=alkbh5 PE=1 SV=1","tr|A0A2B4RTJ7|A0A2B4RTJ7_STYPI",0,"RNA demethylase ALKBH5 OS=Stylophora pistillata GN=alkbh5 PE=4 SV=1","gb|PFX19677.1|",0,"RNA demethylase ALKBH5-like [Stylophora pistillata]","GO:0016607; GO:0005634; GO:0046872; GO:0035515; GO:0016706; GO:0006406; GO:0006397; GO:0035553; GO:0001666; GO:0007283","GO:0008168"
"evm.TU.chromosome_12.1491",57.7911942488253,1.07681515113411,0.204423650653149,5.26756638820215,1.38244173148339e-07,3.25394152834769e-05,"sp|Q8CGI1|F193A_MOUSE",1.02e-26,"Protein FAM193A OS=Mus musculus GN=Fam193a PE=1 SV=2","tr|A0A2B4SMH8|A0A2B4SMH8_STYPI",0,"Protein FAM193A OS=Stylophora pistillata GN=Fam193a PE=4 SV=1","ref|XP_020623888.1|",0,"uncharacterized protein LOC110061385 [Orbicella faveolata]","",""
"evm.TU.chromosome_4.2413",59.781688419625,2.55288102192659,0.484981917513392,5.26386846547963,1.41055385016256e-07,3.25394152834769e-05,"sp|B1WAZ6|PA24A_XENTR",0,"Cytosolic phospholipase A2 OS=Xenopus tropicalis GN=pla2g4a PE=2 SV=1","tr|A0A2B4S6N3|A0A2B4S6N3_STYPI",0,"Cytosolic phospholipase A2 OS=Stylophora pistillata GN=pla2g4a PE=4 SV=1","gb|PFX24703.1|",0,"cytosolic phospholipase A2-like [Stylophora pistillata]","GO:0031410; GO:0004622; GO:0046872; GO:0004623; GO:0102567; GO:0102568; GO:0009395","GO:0005737; GO:0046872; GO:0004623; GO:0102567; GO:0102568; GO:0009395"
"evm.TU.chromosome_4.1001",50.4791695778051,1.08425085940618,0.206330001313629,5.25493555228587,1.48076314894225e-07,3.27530706039846e-05,"sp|Q5ZM19|NCBP3_CHICK",1.81e-37,"Nuclear cap-binding protein subunit 3 OS=Gallus gallus GN=NCBP3 PE=2 SV=1","tr|A0A2B4SP11|A0A2B4SP11_STYPI",2.31e-140,"Uncharacterized protein C17orf85-like OS=Stylophora pistillata GN=AWC38_SpisGene4082 PE=4 SV=1","ref|XP_020629906.1|",0,"nuclear cap-binding protein subunit 3-like [Orbicella faveolata]","GO:0005737; GO:0005634; GO:0003729; GO:0000340; GO:0006370; GO:0051028","GO:0003729; GO:0000340"
"evm.TU.chromosome_4.1485_evm.TU.chromosome_4.1487",8.1047518313884,4.35900936763985,0.831100783796574,5.24486253968784,1.56398886780315e-07,3.3789433911375e-05,NA,NA,NA,"tr|A0A2B4RGD3|A0A2B4RGD3_STYPI",0,"Uncharacterized protein OS=Stylophora pistillata GN=AWC38_SpisGene18264 PE=4 SV=1","ref|XP_020620710.1|",0,"golgin subfamily B member 1-like [Orbicella faveolata]",NA,""
"evm.TU.chromosome_12.3948",45.5470947464977,-1.93375378220736,0.369873276241707,-5.22815219811577,1.71212545725382e-07,3.61491943133818e-05,"sp|B3EWZ6|MLRP2_ACRMI",1.43e-69,"MAM and LDL-receptor class A domain-containing protein 2 (Fragment) OS=Acropora millepora PE=1 SV=1","tr|A0A2B4RSP3|A0A2B4RSP3_STYPI",0,"Trypsin-3 OS=Stylophora pistillata GN=Trypsin-3 PE=4 SV=1","gb|PFX20186.1|",0,"Trypsin-3 [Stylophora pistillata]","GO:0005576; GO:0016020","GO:0016020; GO:0004252"
"evm.TU.chromosome_4.1448",20.6945062199985,1.91498619787018,0.367403903555801,5.21220972160776,1.86604417733921e-07,3.85234453499584e-05,NA,NA,NA,"tr|A0A2B4RJS3|A0A2B4RJS3_STYPI",4.85e-82,"Oxidative stress-responsive serine-rich protein 1 OS=Stylophora pistillata GN=Oser1 PE=4 SV=1","ref|XP_020620685.1|",9.37e-109,"uncharacterized protein LOC110058378 [Orbicella faveolata]",NA,""
"evm.TU.chromosome_12.4041",105.873100343387,1.57698083200787,0.303109288898727,5.20268064940353,1.96434258106177e-07,3.967117951753e-05,"sp|Q66T72|PSIP1_FELCA",2.31e-32,"PC4 and SFRS1-interacting protein OS=Felis catus GN=PSIP1 PE=1 SV=1","tr|A0A2B4RZJ5|A0A2B4RZJ5_STYPI",7.96e-165,"Ras-related protein Rab-27A OS=Stylophora pistillata GN=RAB27A PE=4 SV=1","ref|XP_020600596.1|",0,"hepatoma-derived growth factor-related protein 2-like [Orbicella faveolata]","GO:0005720; GO:0005654; GO:0035327; GO:0033613; GO:0003682; GO:0001105; GO:0097100; GO:0000395; GO:0045944; GO:0009408; GO:0006979","GO:0005525; GO:0003924"
"evm.TU.chromosome_2.353",30.0483233851341,1.36721602935278,0.264532053969983,5.16843236513003,2.3606568643345e-07,4.66606431269521e-05,"sp|Q8K2H1|PPHLN_MOUSE",7.61e-10,"Periphilin-1 OS=Mus musculus GN=Pphln1 PE=1 SV=1","tr|A0A2B4RGE7|A0A2B4RGE7_STYPI",4.35e-133,"Periphilin-1 OS=Stylophora pistillata GN=Pphln1 PE=4 SV=1","ref|XP_020625619.1|",0,"uncharacterized protein LOC110063006 [Orbicella faveolata]","GO:0005694; GO:0005829; GO:0005794; GO:0005654; GO:0031424; GO:0045892; GO:0006351","GO:0003723; GO:0045892"
"evm.TU.chromosome_13.2505",119.579985060926,0.859895328460727,0.16696644649031,5.15010857891519,2.60335702429092e-07,4.93575239911482e-05,NA,NA,NA,"tr|A0A2B4SPW4|A0A2B4SPW4_STYPI",0,"Amyloid beta A4 protein-binding family A member 1 OS=Stylophora pistillata GN=APBA1 PE=4 SV=1","ref|XP_020626788.1|",0,"dentin sialophosphoprotein-like [Orbicella faveolata]",NA,""
"evm.TU.chromosome_6.1341",14.9637511469647,-1.78428855787437,0.347857979866999,-5.12935928207419,2.90730000422894e-07,5.40176340785736e-05,"sp|P55112|NAS4_CAEEL",9.59e-44,"Zinc metalloproteinase nas-4 OS=Caenorhabditis elegans GN=nas-4 PE=2 SV=4","tr|A0A2B4SWV0|A0A2B4SWV0_STYPI",0,"Zinc metalloproteinase nas-4 OS=Stylophora pistillata GN=nas-4 PE=4 SV=1","ref|XP_020617137.1|",0,"zinc metalloproteinase nas-15-like isoform X1 [Orbicella faveolata]","GO:0005576; GO:0004222; GO:0008270","GO:0004222; GO:0008270"
"evm.TU.chromosome_8.2739",46.5462669268552,2.14649340444591,0.424274099602084,5.05921385835019,4.20988501597313e-07,7.66859447027261e-05,"sp|Q5W0Q7|USPL1_HUMAN",4.37e-21,"SUMO-specific isopeptidase USPL1 OS=Homo sapiens GN=USPL1 PE=1 SV=1","tr|A0A2B4S1G2|A0A2B4S1G2_STYPI",0,"SUMO-specific isopeptidase USPL1 OS=Stylophora pistillata GN=USPL1 PE=4 SV=1","ref|XP_020623337.1|",0,"uncharacterized protein LOC110060869 [Orbicella faveolata]","GO:0015030; GO:0005615; GO:0032183; GO:0070140; GO:0030576; GO:0008283; GO:0016926","GO:0032183; GO:0070140; GO:0030576"
"evm.TU.chromosome_14.6984",26.0778374764596,3.07495190182518,0.609829426477091,5.04231473313579,4.59933981164131e-07,8.21689747118226e-05,"sp|Q9I9A7|CDT1_XENLA",1.05e-92,"DNA replication factor Cdt1 OS=Xenopus laevis GN=cdt1 PE=1 SV=2","tr|A0A2B4RHT6|A0A2B4RHT6_STYPI",0,"DNA replication factor Cdt1 OS=Stylophora pistillata GN=cdt1 PE=4 SV=1","gb|PFX17954.1|",0,"DNA replication factor Cdt1-like [Stylophora pistillata]","GO:0005634; GO:0031490; GO:0007049; GO:0006260",""
"evm.TU.chromosome_8.2616",27.64302753238,1.58911665037323,0.316733543369357,5.01720352529917,5.24290185382663e-07,9.18991664566969e-05,NA,NA,NA,"tr|A0A2B4SZE1|A0A2B4SZE1_STYPI",2.72e-159,"Uncharacterized protein OS=Stylophora pistillata GN=AWC38_SpisGene715 PE=4 SV=1","ref|XP_020604292.1|",0,"uncharacterized protein LOC110043196 [Orbicella faveolata]",NA,"GO:0003676"
"evm.TU.chromosome_9.151",106.897099053481,1.71126190119681,0.345023927306473,4.95983543679494,7.05529217358537e-07,0.000120334496233427,"sp|P29227|HP1_DROVI",1.73e-44,"Heterochromatin protein 1 OS=Drosophila virilis GN=HP1A PE=3 SV=1","tr|A0A2B4SSY6|A0A2B4SSY6_STYPI",8.6e-69,"Heterochromatin protein 1 OS=Stylophora pistillata GN=Su(var)205 PE=4 SV=1","ref|XP_020623081.1|",5.76e-102,"chromobox protein homolog 1-like [Orbicella faveolata]","GO:0000780; GO:0000791; GO:0005720; GO:0005721; GO:0005704; GO:0005701; GO:0005705; GO:0005703; GO:0035012; GO:0003682; GO:0030544; GO:0030674; GO:0000182; GO:0003723; GO:0099122; GO:0003696; GO:0044026; GO:0006343; GO:0016458; GO:0031507; GO:0034773; GO:0000278; GO:0033697; GO:1905646; GO:1900111; GO:0090309; GO:0061408; GO:1905632; GO:0042981; GO:1905634; GO:0000723; GO:0006351","GO:0005634"
"evm.TU.chromosome_9.2575",6.9291692707009,5.00139472018769,1.00876334597994,4.9579465194874,7.12421667689828e-07,0.000120334496233427,"sp|O43854|EDIL3_HUMAN",3.18e-57,"EGF-like repeat and discoidin I-like domain-containing protein 3 OS=Homo sapiens GN=EDIL3 PE=1 SV=1","tr|A0A2B4SPX5|A0A2B4SPX5_STYPI",0,"Neurogenic locus Notch protein OS=Stylophora pistillata GN=N PE=4 SV=1","gb|PFX30425.1|",0,"Neurogenic locus Notch protein [Stylophora pistillata]","GO:0070062; GO:0031012; GO:1903561; GO:0005509; GO:0005178; GO:0007155; GO:0007275; GO:0010811","GO:0016021; GO:0005509"
"evm.TU.chromosome_10.1267",62.3001011818779,1.05612552721529,0.2137767416487,4.94032006976148,7.79944360932628e-07,0.00012533645271101,NA,NA,NA,"tr|A0A2B4S9T8|A0A2B4S9T8_STYPI",0,"Uncharacterized protein OS=Stylophora pistillata GN=AWC38_SpisGene9182 PE=4 SV=1","gb|PFX26156.1|",0,"myosin-11-like isoform X2 [Stylophora pistillata]",NA,""
"evm.TU.chromosome_8.1193_evm.TU.chromosome_8.1194",130.45891847784,0.778134179464777,0.157467716631072,4.94154736038914,7.75049838620307e-07,0.00012533645271101,"sp|Q5R539|SRRT_PONAB",2.29e-147,"Serrate RNA effector molecule homolog OS=Pongo abelii GN=SRRT PE=2 SV=1","tr|A0A2B4SB72|A0A2B4SB72_STYPI",0,"Serrate RNA effector molecule-like OS=Stylophora pistillata GN=srrt PE=4 SV=1","ref|XP_020626008.1|",0,"serrate RNA effector molecule homolog isoform X1 [Orbicella faveolata]","GO:0005737; GO:0005654; GO:0003677; GO:0008283; GO:0097150; GO:0031053; GO:0006355; GO:0006351",""
"evm.TU.chromosome_13.1411",17.2124848625623,2.04205601847068,0.413862910062754,4.93413632586946,8.05061971264323e-07,0.000126763147678738,"sp|Q7Z2Z1|TICRR_HUMAN",2.98e-29,"Treslin OS=Homo sapiens GN=TICRR PE=1 SV=2","tr|A0A2B4S330|A0A2B4S330_STYPI",0,"Treslin OS=Stylophora pistillata GN=TICRR PE=4 SV=1","ref|XP_020600905.1|",0,"treslin-like isoform X1 [Orbicella faveolata]","GO:0005654; GO:0005634; GO:0003682; GO:0000075; GO:0006281; GO:0006260; GO:0001731; GO:0033314; GO:0030174; GO:0010212","GO:0005634; GO:0006260; GO:0033314; GO:0010212"
"evm.TU.chromosome_10.2811",54.1846955315927,1.35746024119956,0.277006139042167,4.90046988089647,9.56077147735163e-07,0.000140983439721582,"sp|Q5U2Y9|LCA5_RAT",1.45e-27,"Lebercilin OS=Rattus norvegicus GN=Lca5 PE=2 SV=1","tr|A0A2B4SDC9|A0A2B4SDC9_STYPI",0,"Lebercilin OS=Stylophora pistillata GN=Lca5 PE=4 SV=1","ref|XP_020601254.1|",0,"lebercilin-like [Orbicella faveolata]","GO:0005930; GO:0036064; GO:0005929; GO:0032403; GO:0042073; GO:0045494",""
"evm.TU.chromosome_10.482",22.7611182001959,1.39065111503725,0.283693412512158,4.90195067528278,9.48896648550513e-07,0.000140983439721582,"sp|Q61655|DD19A_MOUSE",0,"ATP-dependent RNA helicase DDX19A OS=Mus musculus GN=Ddx19a PE=1 SV=2","tr|A0A2B4S369|A0A2B4S369_STYPI",0,"ATP-dependent RNA helicase DDX19A OS=Stylophora pistillata GN=DDX19A PE=4 SV=1","ref|XP_020630470.1|",0,"ATP-dependent RNA helicase DDX19A-like [Orbicella faveolata]","GO:0071013; GO:0005737; GO:0031965; GO:0005643; GO:0005730; GO:0005524; GO:0004004; GO:0003723; GO:0051028; GO:0015031; GO:0010468; GO:0010501; GO:0008380","GO:0005524; GO:0004386; GO:0003676"
"evm.TU.chromosome_4.1315",23.0494421689861,2.1683696607724,0.442167142943119,4.90395927282038,9.39239715816092e-07,0.000140983439721582,"sp|Q9NRZ9|HELLS_HUMAN",0,"Lymphoid-specific helicase OS=Homo sapiens GN=HELLS PE=1 SV=1","tr|A0A2B4RGY1|A0A2B4RGY1_STYPI",0,"Lymphocyte-specific helicase OS=Stylophora pistillata GN=Hells PE=4 SV=1","ref|XP_020616692.1|",0,"lymphocyte-specific helicase-like [Orbicella faveolata]","GO:0000775; GO:0005634; GO:0005721; GO:0005524; GO:0004386; GO:0007049; GO:0051301; GO:0046651; GO:0010216; GO:0006346; GO:0007275; GO:0031508; GO:0006351","GO:0005524; GO:0004386"
"evm.TU.chromosome_4.702",146.987189933843,-0.779520311455365,0.159232692751204,-4.89547905010524,9.80665393646826e-07,0.000141929831971624,NA,NA,NA,"tr|A0A2B4S807|A0A2B4S807_STYPI",7.63e-97,"Uncharacterized protein OS=Stylophora pistillata GN=AWC38_SpisGene10702 PE=4 SV=1","gb|PFX24708.1|",1.18e-96,"glutamic acid-rich protein-like [Stylophora pistillata]",NA,""
"evm.TU.chromosome_14.7318",20.7007545631974,2.00216257029115,0.409604907693356,4.88803364580298,1.01848127104979e-06,0.000142466670407953,"sp|Q9GYZ0|KIF15_STRPU",3.12e-23,"Kinesin-like protein KIF15 OS=Strongylocentrotus purpuratus GN=KIF15 PE=1 SV=1","tr|A0A2B4SBX0|A0A2B4SBX0_STYPI",9.77e-134,"Kinesin-like protein KIF15 OS=Stylophora pistillata GN=KIF15 PE=4 SV=1","ref|XP_020614826.1|",6.51e-165,"kinesin-like protein KIF15 isoform X1 [Orbicella faveolata]","GO:0005737; GO:0005871; GO:0005874; GO:0005819; GO:0005524; GO:0016887; GO:0008017; GO:0003777; GO:0007018","GO:0005524; GO:0008017; GO:0003777; GO:0007018"
